iter	Passed	Remaining
0	1	114
1	2	101
2	2	95
3	3	86
4	4	81
5	4	78
6	5	76
7	6	73
8	7	71
9	7	70
10	8	68
11	9	67
12	9	66
13	10	65
14	11	64
15	11	62
16	12	61
17	13	60
18	13	59
19	14	58
20	15	57
21	15	56
22	16	55
23	17	54
24	17	53
25	18	52
26	19	51
27	19	51
28	20	50
29	21	49
30	22	49
31	22	48
32	23	47
33	24	47
34	25	46
35	25	46
36	26	45
37	27	44
38	28	44
39	29	43
40	29	42
41	30	41
42	30	40
43	31	39
44	32	39
45	32	38
46	33	37
47	34	37
48	34	36
49	35	35
50	36	34
51	36	34
52	37	33
53	38	32
54	38	31
55	39	30
56	39	30
57	40	29
58	41	28
59	41	27
60	42	27
61	43	26
62	43	25
63	44	24
64	45	24
65	45	23
66	46	22
67	47	22
68	47	21
69	48	20
70	48	20
71	49	19
72	50	18
73	50	17
74	51	17
75	52	16
76	52	15
77	53	15
78	54	14
79	54	13
80	55	12
81	55	12
82	56	11
83	56	10
84	57	10
85	58	9
86	58	8
87	59	8
88	59	7
89	60	6
90	61	6
91	61	5
92	62	4
93	63	4
94	63	3
95	64	2
96	64	2
97	65	1
98	66	0
99	66	0
